Chemical,Repellency_skin_YF,Repellency_skin_M,Repellency_clothes_YF,Repellency_clothes_M
"Lactic acid, ethyl ester, phosphate",2,1,1,-
"Lactic acid, ethyl ester, propionate",3,-,1,-
"Lactic acid, ethyl ester, succinic acid diester",-,-,1,-
"Lactic acid, 2-ethylbutyl ester",1,2,-,-
"Lactic acid, 2-ethylbutyl ester, acetate",1,-,-,-
"Lactic acid, 2-ethylbutyl ester, diester with maleic acid",2,1,3,-
"Lactic acid, 2-ethylbutyl ester, diester with phthalic acid",1,2,-,-
"Lactic acid, 2-ethylbutyl ester, diethylene glycol dicarbonate",-,-,1,-
"Lactic acid, ethylene diester, monoacetate, mono-alpha-acetoxypropionate",2,-,1,-
"Lactic acid, ethylene glycol diester, diacetate",1,1,-,-
"Lactic acid, 2-ethylhexyl ester",2,3,-,-
"Lactic acid, 2-ethylhexyl ester, acetate",2,2,2,-
"Lactic acid, 2-ethylhexyl ester, diester with maleic acid",2,1,4,-
"Lactic acid, 2-ethylhexyl ester, diester with phthalic acid",2,3,1,-
"Lactic acid, 2-(2-ethylhexyloxy)ethyl ester",2,1,4A,-
"Lactic acid, 2-(2-ethylhexyloxy)ethyl ester, acetate",1,2,-,-
"Lactic acid, formate",2,1,-,-
"Lactic acid, D-glucose pentaester, acetate",-,-,1,-
"Lactic acid, glucose triester, triacetate",-,-,1,-
"Lactic acid, glycerol triester, triacetate",1,1,1,-
"Lactic acid, hexadecyl ester",-,-,4,-
"Lactic acid, hexadecyl ester, acetate",-,-,1,-
"Lactic acid, hexyl ester",1,2,-,-
"Lactic acid, hexyl ester, acetate",2,1,-,-
"Lactic acid, hexyl ester, diethylene glycol dicarbonate",-,-,1,-
"Lactic acid, hexyl ester, ethyl carbonate",-,-,1,-
"Lactic acid, hexyl ester, hexyl carbonate",-,-,1,-
"Lactic acid, hexyl ester, lactate",-,-,2,-
"Lactic acid, 2-hexyloxyethyl ester",-,-,4,-
"Lactic acid, 2-hexyloxyethyl ester, adipic acid diester",-,-,1,-
"Lactic acid, 2-hexyloxyethyl ester, hexyl carbonate",-,-,1,-
"Lactic acid, 5-hydroxyamyl ester",-,-,1,-
"Lactic acid, 2-hydroxyethyl ester",3,-,-,-
"Lactic acid, isoamyl ester",1,2,-,-
"Lactic acid, isoamyl ester, acetate",1,-,-,-
"Lactic acid, isobutyl ester",-,-,1,-
"Lactic acid, isobutyl ester, acetate",1,-,-,-
"Lactic acid, isobutyl ester, acrylate",-,-,1,-
"Lactic acid, isobutyl ester, diester with maleic acid",2,2,3,-
"Lactic acid, isobutyl ester, diethylene glycol dicarbonate",-,-,1,-
"Lactic acid, isobutyl ester, methacrylate",-,-,2,-
"Lactic acid, 1-isobutylisoamyl ester",-,-,1,-
"Lactic acid, 1-isobutylisoamyl ester, diethylene glycol dicarbonate",-,-,1,-
"Lactic acid, 2-isopropoxyethyl ester",1,2,3,-
"Lactic acid, 2-isopropoxyethyl ester, acetate",3,1,4A,-
"Lactic acid, isopropyl ester",1,1,-,-
"Lactic acid, isopropyl ester, acetate",1,2,-,-
"Lactic acid, isopropyl ester, acrylate",2,3,-,-
"Lactic acid, isopropyl ester, diethylene glycol dicarbonate",-,-,1,-
"Lactic acid, isopropyl ester, methacrylate",1,1,-,-
"Lactic acid, 2-(2-methoxyethoxy)ethyl ester",1,2,-,-
"Lactic acid, 2-(2-methoxyethoxy)ethyl ester, acetate",2,2,2,-
"Lactic acid, 2-methoxyethyl ester",1,1,-,-
"Lactic acid, 2-methoxyethyl ester, acetate",1,1,-,-
"Lactic acid, 2-methoxyethyl ester, diethylene glycol dicarbonate",-,-,1,-
"Lactic acid, methyl ester",1,1,1,-
"Lactic acid, methyl ester, acetate",1,-,-,-
"Lactic acid, methyl ester, amyl carbonate",1,-,-,-
"Lactic acid, methyl ester, butyl carbonate",2,-,3,-
"Lactic acid, methyl ester, chloroethyl carbonate",1,2,-,-
"Lactic acid, methyl ester, diester with maleic acid",1,1,-,-
"Lactic acid, 1-methylheptyl ester, 1-methyl-heptyl sebacate",-,-,2,-
"Lactic acid, 1-methylheptyl ester, sebacic acid diester",-,-,1,-
"Lactic acid, 1-methylhexyl ester",2,2,3,-
"Lactic acid, 1-methylhexyl ester, acetate",2,2,-,-
"Lactic acid, octyl ester",3,3,4A,-
"Lactic acid, octyl ester, acetate",-,-,2,-
"Lactic acid, octyl ester, diethylene glycol dicarbonate",-,-,1,-
"Lactic acid, octyl ester, ethyl carbonate",1,-,1,-
"Lactic acid, octyl ester, lactate",-,-,1,-
"Lactic acid, octyl ester, succinic acid diester",-,-,1,-
"Lactic acid, 1,5-pentanediol diester",-,-,1,-
"Lactic acid, phenethyl ester",2,1,4A,-
"Lactic acid, phenethyl ester, acetate",2,1,4,-
"Lactic acid, 2-phenoxyethyl ester",2,2,4A,-
"Lactic acid, 2-phenoxyethyl ester, acetate",1,1,-,-
"Lactic acid, phenyl ester, acetate",2,1,4A,-
"Lactic acid, phenyl ester, lactate, acetate",2,-,1,-
"Lactic acid, propionate",-,-,4A,-
"Lactic acid, propyl ester, acetate",1,-,-,-
"Lactic acid, propyl ester, diethylene glycol dicarbonate",-,-,1,-
"Lactic acid, propyl ester, lactate",-,-,2,-
"Lactic acid, propyl ester, propyl carbonate",-,-,2,-
"Lactic acid, sodium salt",-,-,1,-
"Lactic acid, sorbitol ester",1,-,-,-
"Lactic acid, terposol ester",1,1,-,-
"Lactic acid, tetradecyl ester",3,-,1,-
"Lactic acid, tetradecyl ester, acetate",-,-,1,-
"Lactic acid, tetrahydrofurfuryl ester",3,1,2,-
"Lactic acid, tetrahydrofurfuryl ester, acetate",3,1,4A,-
"Lactic acid, tetrahydrofurfuryl ester, butyrate",1,2,-,-
"Lactic acid, tetrahydrofurfuryl ester, carbonate, diethylene glycol diester",-,-,1,-
"Lactic acid, tetrahydrofurfuryl ester, ethyl carbonate",2,2,4A,-
"Lactic acid, tetrahydrofurfuryl ester, lactate, acetate",1,2,-,-
"Lactic acid, tetrahydrofurfuryl ester, laurate",2,-,1,-
"Lactic acid, tetrahydrofurfuryl ester, pelargonate",1,2,-,-
"Lactic acid, tetrahydrofurfuryl ester, phthalic acid diester",-,-,1,-
"Lactic acid, m-tolyl ester, acetate",2,2,-,-
"Lactic acid, o-tolyl ester, acetate",2,1,-,-
"Lactic acid, 3,5,5-trimethylhexyl ester",-,-,2,-
"Lactic acid, 3,5,5-trimethylhexyl ester, adipic acid diester",-,-,1,-
"Lactic acid, beta-chloro-, ethyl ester",2,2,3,-
"Lactic acid, beta-chloro-, methyl ester",2,2,2,-
"Lactic acid, beta-ethoxy-, butyl ester, lactate, acetate",1,2,-,-
"Lactic acid, beta,beta,beta-trichloro-Lactonitrile, acetate",-,-,-,-
Lactose,-,-,-,-
Lanolin,-,-,1,1
Lauraldehyde,-,-,-,-
"Lauraldehyde, diethyl acetal",2,4,4A,-
"Lauramide, N,N-bis(2-hydroxyethyl)-",2,3,4,-
"Lauramide, N-butyl-",-,-,1,1
"Lauramide, N,N-dibutyl-",-,-,-,-
"Lauramide, N,N-dicyclohexyl-",1,1,-,-
"Lauramide, N,N-diethyl-",1,1,-,-
"Lauramide, N,N-dihexyl-",1,1,-,-
"Lauramide, N,N-diphenyl-",1,2,-,-
"Lauramide, N-isobutyl-",-,-,1,1
Lauramide,-,-,1,1
Lauric acid,-,-,-,-
"Lauric acid, allyl ester",-,-,4A,2
"Lauric acid, ammonium salt",1,1,-,-
"Lauric acid, amyl ester",-,-,4,3
"Lauric acid, 2-(p-tert-amylphenoxy)ethyl ester",-,-,-,-
"Lauric acid, benzyl ester",1,1,-,-
"Lauric acid, 2-butoxyethyl ester",-,-,1,-
"Lauric acid, butyl ester",1,-,-,-
"Lauric acid, 2-(p-tert-butylphenoxy)ethyl ester",2,2,1,-
"Lauric acid, 2-chloroallyl ester",1,1,-,-
"Lauric acid, chloroethyl ester",2,4,4A,-
"Lauric acid, diester with 2,5-dimethylcyclo-hexane-1,1-dimethanol",1,1,3,-
"Lauric acid, 2,2'-disoamoxyisopropyl ester",1,1,-,-
"Lauric acid, 2,2'-dimethoxyisopropyl ester",1,1,-,-
"Lauric acid, 2-dimethylaminoethyl ester",1,1,-,-
"Lauric acid, dodecyl ester",-,-,1,-
"Lauric acid, ester with 2-methyl-1,3-dioxolane-4-methanol",-,-,1,-
"Lauric acid, 2-(2-ethoxyethoxy)ethyl ester",2,3,4A,-
"Lauric acid, 2-ethoxyethyl ester",1,-,-,-
"Lauric acid, ethyl ester",2,-,1,-
"Lauric acid, ethylene glycol diester",1,3,-,-
"Lauric acid, glycidyl ester",-,-,2,1
"Lauric acid, glycol diester, polymerized",1,1,-,-
"Lauric acid, hydroabietyl ester",1,1,-,-
"Lauric acid, 2-(2-hydroxyethoxy)ethyl ester",1,-,-,-
"Lauric acid, 2-hydroxyethyl ester",1,-,-,-
"Lauric acid, 2-hydroxyethyl ester, polymer",1,-,2,1
"Lauric acid, 3-hydroxypropyl ester",-,-,-,-
"Lauric acid, isobutyl ester",1,1,4,2
"Lauric acid, isopropyl ester, crude",1,1,-,-
"Lauric acid, mannitolglyceryl monoester",1,-,-,-
"Lauric acid, methyl ester",1,-,2,1
"Lauric acid, 5-(3-methyl-1-phenylpyrazolyl) ester",1,2,-,-
"Lauric acid, monoester with mannitan",1,1,-,-
"Lauric acid, 6-propylpiperonyl ester",1,1,-,-
"Lauric acid, sorbitol ester",-,-,1,-
"Lauric acid, sulfonyldiethylene diester",2,1,4A,-
"Lauric acid, tetrahydrofurfuryl ester",-,-,1,1
"Lauric acid, 2-thiocyanoethyl ester. (Lethane 60)",1,2,1,1
"Lauric acid, triester with N,N-bis(2-hydroxy-ethyl)lactamide",1,2,-,-
"Lauric acid, trimethylcyclohexyl ester",-,-,1,-
Laurin di,1,-,-,-
Laurin mono,-,-,2,1
"2-Lauronaphthone, 5,6,7,8-tetrahydro-",-,-,2,1
Lauronitrile,1,1,-,-
Laurophenone,1,1,-,-
"Laurophenone, p-chloro-",-,-,1,1
Lecithin,-,-,2,1
"Leucine, l-",-,-,1,-
"Leucine, N-benzoyl-N-(2-carbethoxyethyl)-, DL-, ethyl ester",-,-,-,-
"Levulinamide, N,N-diethyl-",-,-,1,-
"Linoleic acid, methyl ester",1,1,-,-
Lithium hypochlorite and sodium chloride,-,-,1,-
Lithium sulfate,-,-,1,-
"Lutidinic acid, diethyl ester",-,-,1,-
"Lutidinic acid, dimethyl ester",-,-,2,-
"Lutidinic acid, dipropyl ester",-,-,1,-
"Lysine, DL-, monohydrochloride",-,-,-,-
"Maclura pomifera, dried fruit",-,-,-,-
"Maclura pomifera, root bark, Substance I",-,-,-,-
"Maclura pomifera, root bark, Substance I, crude (ethanol extract)",-,-,-,-
Magnesium carbonate,-,-,1,-
Magnesium sulfate,-,-,-,-
Malachite Green G,-,-,-,-
"Malathion. (Thiophosphoric acid, O,O-dimethyldi-, diester with diethyl mercapto-succinate)",-,-,-,-
Maleamic acid,-,-,-,-
"Maleamic acid, peptide condensation product",-,-,-,-
"Maleamic acid, N-(p-acetophenyl)-",-,-,2,-
"Maleamic acid, N-amyl(chloro)-",-,-,1,-
"Maleamic acid, N-4-biphenylyl-",-,-,-,-
"Maleamic acid, N-4-biphenylyl(chloro)-",-,-,-,-
"Maleamic acid, chloro-N-cyclohexyl-",-,-,-,-
"Maleamic acid, chloro(N-decyl)-",-,-,1,-
"Maleamic acid, chloro-N,N-dicyclohexyl-",-,-,-,-
"Maleamic acid, chloro(N-dodecyl)-",-,-,1,-
"Maleamic acid, chloro(N-hexadecyl)-",-,-,1,-
"Maleamic acid, chloro(N-octadecyl)-",-,-,1,-
"Maleamic acid, chloro(N-octyl)-",-,-,1,-
"Maleamic acid, chloro(N-tetradecyl)-",-,-,1,-
"Maleamic acid, N-cyclohexyl-",-,-,1,-
"Maleamic acid, N-decyl-",-,-,1,-
"Maleamic acid, N,N-dicyclohexyl-",-,-,-,-
"Maleamic (or fumaramic) acid, N,N-diethyl-, ethyl ester",4,2,4A,-
"Maleamic acid, N-dodecyl-",-,-,1,-
"Maleamic acid, N-dodecyl-, isobutyl ester",-,-,-,-
"Maleamic acid, N-hexadecyl-",-,-,1,-
"Maleamic acid, N-octadecyl-",-,-,1,-
"Maleamic acid, N-octyl-",-,-,1,-
"Maleamic (or fumaramic) acid, N,N-pentamethylene-, ethyl ester",4,2,-,-
"Maleic acid, dichloro-, dimethyl ester",-,-,-,-
"Maleic anhydride, furane reaction product",-,-,1,-
"Maleimide, N-4-biphenylyl-",-,-,2,-
"Maleimide, chloro-N-phenyl-",-,-,1,-
"Maleimide, chloro-N-tetradecyl-",-,-,2,-
"Maleimide, N-dodecyl-",2,3,-,-
"Maleimide, N-2-ethylhexyl-",-,-,4,-
"Maleimide, N-phenyl-",-,-,2,-
"Maleimide, N-(o-tolyl)-",1,2,-,-
"Male acid, dl-",1,1,-,-
"Male acid, bis(2-ethylhexyl) ester",3,1,-,-
"Male acid, dl-, diallyl ester",1,2,-,-
"Male acid, d-, dibutyl ester",4,2,4,-
"Male acid, I-, dibutyl ester",2,1,4A,-
"Male acid, dl-, dibutyl ester",3,1,3,-
"Male acid, dl-, di-sec-butyl ester",1,1,-,-
"Male acid, diethyl ester",2,2,4,-
"Male acid, d-, diethyl ester",1,-,-,-
"Male acid, dl-, diisopropyl ester",1,2,-,-
"Male acid, di-9-octadecenyl ester",-,-,-,-
"Male acid, dl-, dipropyl ester",-,-,1,-
"Male acid, thio-, antimony lithium compound",-,-,1,-
"Malonaldehyde, bis(diethyl acetal)",1,-,-,-
Malonic acid,1,1,3,-
"Malonic acid, bis(2-phenoxyethyl) ester",1,1,-,-
"Malonic acid, tert-butyl ethyl ester",1,1,-,-
"Malonic acid, diallyl ester",1,3,-,-
"Malonic acid, dibutyl ester",1,1,-,-
"Malonic acid, diethyl ester",1,2,-,-
"Malonic acid, diisoamyl ester",1,1,-,-
"Malonic acid, diisopropyl ester",1,1,-,-
"Malonic acid, dimethyl ester",1,2,-,-
"Malonic acid, dipropyl ester",1,1,-,-
"Malonic acid, ethyl propyl ester",1,1,-,-
"Malonic acid, alpha-acetonylbenzyl-, diethyl ester",1,1,-,-
"Malonic acid, acetylethyl-, diethyl ester",1,2,-,-
"Malonic acid, allyl-, diethyl ester",1,1,-,-
"Malonic acid, allyl(1-ethoxyethyl)-, diethyl ester",1,1,-,-
"Malonic acid, allyl(isopropenyl)-, diethyl ester",1,1,-,-
"Malonic acid, allyl(1-methylpropenyl)-, diethyl ester",1,1,-,-
Malonic acid amylphenethyl- diethyl ester,1,1,-,-
Malto1,-,-,-,-
Maltose,-,-,1,1
"Maltose, D-(+)",-,-,-,-
"Mandelamide, N-vanillyl-",-,-,1,1
"Mandelic acid, dl-",-,-,2,1
"Mandelic acid, dl-, acetonyl ester",2,2,1,-
"Mandelic acid, allyl ester",-,-,4A,-
"Mandelic acid, amyl ester",-,-,4A,-
"Mandelic acid, benzyl ester",-,-,1,-
"Mandelic acid, butyl ester",4,2,4A,-
"Mandelic acid, sec-butyl ester",-,-,3,-
"Mandelic acid, 2-butyloctyl ester",-,-,1,-
"Mandelic acid, cyclohexyl ester",-,-,1,-
"Mandelic acid, 1, 3-dimethylbutyl ester",-,-,1,-
"Mandelic acid, 2, 6-dimethyl-4-heptyl ester",4,3,4A,-
"Mandelic acid, 2-ethoxyethyl ester",4A,3,-,-
"Mandelic acid, ethyl ester",-,-,1,-
"Mandelic acid, l-, ethyl ester",-,-,1,-
"Mandelic acid, ethyl ester, acetate",-,-,1,-
"Mandelic acid, ethyl ester, benzoate",4,3,4A,-
"Mandelic acid, ethyl ester, butyrate",-,-,4,-
"Mandelic acid, ethyl ester, chrysanthemumate",4,2,4A,-
"Mandelic acid, 2-ethylhexyl ester",4,2,4,-
"Mandelic acid, ethyl ester, propionate",-,-,2,-
"Mandelic acid, 1-ethylamyl ester",-,-,4,-
"Mandelic acid, heptyl ester",-,-,1,-
"Mandelic acid, hexyl ester",-,-,1,-
"Mandelic acid, isoamyl ester",-,-,1,-
"Mandelic acid, isobutyl ester",-,-,1,-
"Mandelic acid, isopropyl ester",-,-,-,-
"Mandelic acid, 2-methoxyethyl ester",-,-,-,-
"Mandelic acid, methyl ester",-,-,-,-
"Mandelic acid, 2-methylamyl ester",-,-,-,-
"Mandelic acid, 3, 4-methylenedioxy-, allyl ester",-,-,-,-
"Mandelic acid, 3, 4-methylenedioxy-, ethyl ester",-,-,-,-
"Mandelic acid, 3, 4-methylenedioxy-, isopropyl ester",-,-,-,-
"Mandelic acid, 3, 4-methylenedioxy-, methyl ester",-,-,-,-
"Mandelic acid, 3, 4-methylenedioxy-, propyl ester",-,-,-,-
"Mandelic acid, octyl ester",-,-,-,-
"Mandelic acid, phenethyl ester",-,-,-,-
"Methane, bis(p-chlorophenoxy)-",-,-,1,-
"Methane, bis(p-chlorophenyl)-",-,-,-,-
"Methane, bis(3-chloropropoxy)-",2,3,2,-
"Methane, bis(p-methoxyphenyl)-",-,-,1,-
"Methane, bis(p-nitrophenyl)-",-,-,1,-
"Methane, bromobis(p-chlorophenyl)-",-,-,-,-
"Methane, bromochloro-",-,-,-,-
"Methane, bromodichloro-",-,-,1,-
"Methane, butoxy(alpha-trichloromethylbenzyloxy)",2,1,-,-
"Methane, (4-tert-butyl-2,6-dimethylcyclohexyl)-(4-tert-butyl-2,6-xylyl)-",-,-,1,-
"Methane, chlorobis(p-chlorophenyl)-",-,-,2,-
"Methane, chloro(diphenyl)-",-,-,1,-
"Methane, (p-chlorophenyl)-(p-chlorophenyl)-",1,1,-,-
"Methane, dibutoxy-",-,1,1,-
"Methane, di-tert-butoxy-",1,1,-,-
"Methane, dichloro-",-,-,-,-
"Methane, dichloro(p-chlorophenyl)phenyl-",-,-,1,-
"Methane, dicyclohexyloxy-",2,2,1,-
"Methane, diphenyl-",2,3,4,-
"Methane, ditolyl-",1,2,-,-
"Methane, (p-ethoxyphenyl)phenyl-",1,1,-,-
"Methane, nitro-",1,1,-,-
"Methane, phenyl(p-tolyl)-",-,-,-,-
"Methane, tetrakis(allyloxymethyl)-",-,-,1,-
"Methane, tetrakis(chloromethyl)-",-,-,2,-
"Methane, tribromochloro-",-,-,1,-
"Methane, triphenyl-",-,-,1,-
"Methanephosphonic acid, bis(2-chloroethyl) ester",2,2,2,-
"Methanephosphonic acid, dimethyl ester",-,-,1,-
"Methanephosphonic acid, ethoxy-, diethyl ester",-,-,2,-
"Methanephosphonic acid, trichloro-, diethyl ester",-,-,-,-
"Methanesulfinic acid, (5-arsenoso-2-hydroxy-anilino)-, sodium salt, methyl alcohol derivative (1:1 mol ratio)",-,-,1,-
"Methanesulfonic acid, 2-ethoxyethyl ester",2,-,-,-
"Methanetricarboxylic acid, triethyl ester",-,-,1,-
"Methanetricarboxylic acid, bromo-, trimethyl ester",-,-,-,-
"Methanetripropionitrile, benzoyl-",-,-,1,-
"Methanetripropionitrile, p-bromobenzoyl-",-,-,1,-
"Methanetripropionitrile, p-chlorobenzoyl-",-,-,1,-
"Methanetripropionitrile, 3,4-dichlorobenzoyl-",-,-,1,-
"Methanetripropionitrile, p-toluyl-",-,-,1,-
"4,7-Methanoindane, 4,5,6,7,8,8-hexachloro- 2,3-epoxy-3a,4,7,7a-tetrahydro-",-,-,-,-
"4,7-Methanoindane, hexahydro-5-phenethoxy-",-,-,1,-
"4,7-Methanoindene, 6-allyloxy-3a,4,5,6,7,7a-hexahydro-",-,-,2,-
"4,7-Methanoindene, 3a,4,5,6,7,8,8-heptachloro 3a,4,7,7a-tetrahydro-, (70%) and 4,7-Methanoindene, 1,2,4,5,6,7,8,8-octachloro-2,3,3a,4,7,7a-hexahydro-, (30%)",-,-,1,-
"4,7-Methanoindene, 4,5,6,7,8,8-hexachloro- 3a-hydroxy-3a,4,7,7a-tetrahydro-",-,-,1,-
"4,7-Methanoindene, 4,5,6,7,8,8-hexachloro- 3a,4,7,7a-tetrahydro-",-,-,2,-
"4,7-Methanoindene, 3a,4,5,6,7,7a-hexahydro- 5(or 6)-phenethoxy-",-,-,1,-
"4,7-Methanoindene, 1,2,4,5,6,7,8,8-octachloro 2,3,3a,4,7,7a-hexahydro-, an active isomer",-,-,1,-
"4,7-Methanoindene, 1,2,4,5,6,7,8,8-octachloro 2,3,3a,4,7,7a-hexahydro-, redistilled",-,-,2,-
"4,7-Methanoindene, 1,2,4,5,6,7,8,8-octachloro 2,3,3a,4,7,7a-hexahydro-, alpha-isomer",-,-,2,-
"4,7-Methanoindene, 1,2,4,5,6,7,8,8-octachloro 2,3,3a,4,7,7a-hexahydro-, beta-isomer",-,-,2,-
"4,7-Methanoindene-2,3-diol, 6-(2-chloroethoxy) 2,3,3a,4,5,6,7,7a-octahydro-, monoformate",-,-,2,-
"4,7-Methanoindene-2,3-diol, 2,3,3a,4,5,6,7,7a-octahydro-6-methoxy-, monoformate",-,-,2,-
"4,7-Methanoindene-1,8-dione, 3a,4,7,7a-tetrahydro-2,3,5,6-tetraphenyl-",-,-,1,-
"4,7-Methanoindene-1-one, 2,3,3a,4,5,6,7,7a, 8,8-decachloro-3a,4,7,7a-tetrahydro-",-,-,1,-
"4,7-Methanoindene-1-ol, 3a,4,5,6,7,7a-hexahydro-, acetate",-,-,2,-
"4,7-Methanoinden-5(or 6)-ol, 3a, 4, 5, 6, 7, 7a-hexahydro-, formate",-,-,1,-
"4,7-Methanoinden-6-ol, 3a, 4, 5, 6, 7, 7a-hexahydro-, acetate",-,-,2,-
Methanol,-,-,-,-
"Methanol, chloro-, benzoate",-,-,2,-
"Methanol, dicyclohexyl-",-,-,2,-
"Methanol, dicyclohexyl-, acetate",1,1,-,-
"Methanol, triphenyl-",-,-,2,-
"Methionine, dl-",-,-,-,-
"Methionine, DL-, N,N-bis(2-cyanoethyl)-",-,-,1,-
"Methionine, DL-, N-(2-carboxyethyl)-",-,-,-,-
Methylal,-,-,1,-
Methylamine (40% aqueous solution),-,-,1,-
Methylamine-fluosilicic acid complex (1:1/2 mol ratio),-,-,1,-
"Methylamine, 1,1,1-trichloro-",-,-,-,-
Methyl benzoate,-,-,2,-
Methyl formate,-,-,-,-
Methyl orange,-,-,-,-
Metol,-,-,1,-
"Mikania orenosensia, ground roots",-,-,-,-
Morpholine,-,-,-,-
"Morpholine, 4-acetoacetyl-",2,2,2,-
"Morpholine, 4-acetyl-",1,2,-,-
"Morpholine, 4,4'-adipyl-",-,-,2,-
"Morpholine, 4-(2-aminoethyl)-",-,-,1,-
"Morpholine, 4-benzoyl-",-,-,2,-
"Morpholine, 4-benzyl-",3,3,4A,-
"Morpholine, 4-butyl-2,6-dimethyl-",1,1,-,-
"Morpholine, 4-butyryl-",-,-,1,-
"Morpholine, 4-capryl-",-,-,1,-
"Morpholine, 4-caprylyl-",-,-,3,-
"Morpholine, 4-(o-chlorobenzoyl)-",-,-,1,-
"Morpholine, 4-(p-chlorobenzoyl)-",-,-,-,-
"Morpholine, 4-(2-chloroethyl)-, hydrochloride",-,-,-,-
"Morpholine, 4-[p-chlorophenyl)thioacetyl]-",-,-,2,-
"Muconic acid, beta-methyl-, dibutyl ester",-,-,4A,-
Myrcene,1,-,-,-
Myristic acid,-,-,1,-
"Myristic acid, butyl ester",1,2,-,-
"Myristic acid, chloroethyl ester",1,1,-,-
"Myristic acid, cyclohexyl ester",1,1,-,-
"Myristic acid, diethylene glycol diester",-,-,2,-
"Myristic acid, \(2,2^{1}\)-dimethoxylsopropyl ester\)",1,1,-,-
"Myristic acid, ethyl ester",1,-,-,-
"Myristic acid, ethylene glycol diester",-,-,1,-
"Myristic acid, glycidyl ester",-,-,2,-
"Myristic acid, \(2-(2-hydroxyethoxy)ethyl ester\)",1,1,-,-
"Myristic acid, \(2-hydroxyethyl ester\)",-,-,2,-
"Myristic acid, isopropyl ester, crude",1,-,-,-
"Myristic (and palmitic) acid, isopropyl ester",2,3,3,-
"Myristic acid, methyl ester",1,2,-,-
"Myristin, di-",-,-,1,-
"Myristin, mono-",-,-,2,-
"Myristin, tri-",-,-,1,-
Myristonitrile,1,-,-,-
"Naphtha, solvent",-,-,-,-
"\(2\)-Naphthaldehyde, \(5,6,7,8\)-tetrahydro-",-,-,1,-
Naphthalene,-,-,2,-
"Naphthalene, \(2\)-amoxy-",1,1,1,-
"Naphthalene, amyl-",1,1,-,-
"Naphthalene, \(1\)-benzyloxy-",-,-,1,-
"Naphthalene, \(2\)-benzyloxy-",-,-,1,-
"Naphthalene, \(2,3\)-bis(isobutoxymethyl)-",1,2,-,-
"Naphthalene, \(1\)-bromo-",1,1,-,-
"Naphthalene, \(1\)-bromo-\(2,3\)-dimethyl-",-,-,1,-
"Naphthalene, \(1\)-bromo-\(4\)-methoxy-",1,1,-,-
"Naphthalene, \(2\)-bromo-\(6\)-methoxy-",-,-,1,-
"Naphthalene, \(1\)-(bromomethyl)-",-,-,-,-
"Naphthalene, \(1\)-chloro-",3,-,2,-
"Naphthalene, \(2\)-chloro-",-,-,-,-
"Naphthalene, \(1\)-chloro-\(4\)-iodo-",-,-,1,-
"Naphthalene, chloromethyl-",-,-,1,-
"Naphthalene, chloromethyl-x, x-dimethyl-",-,-,1,-
"Naphthalene, chloromethyl-x-methyl-",-,-,1,-
1-Naphthalenebutyramide,-,-,1,-
2-Naphthalenebutyramide,-,-,1,-
"1-Naphthalenebutyric acid, ethyl ester",1,1,-,-
"2-Naphthalenebutyric acid, ethyl ester",1,1,-,-
"2-Naphthalenebutyric acid, 5,6,7,8-tetrahydro-, methyl ester",1,-,-,-
"1,2-Naphthalenedicarboximide, N-methyl-",-,-,2,1
"2,3-Naphthalenedicarboxylic anhydride, 1,4-diphenyl-",-,-,1,-
"1,3-Naphthalenediol",-,-,-,-
"1,5-Naphthalenediol",-,-,-,-
"1,5-Naphthalenediol, diacetate",-,-,1,-
"2,3-Naphthalenediol",-,-,1,-
"2,7-Naphthalenedisulfonic acid, 4,5-dihydroxy-",-,-,-,-
1-Naphthalenedithanephosphonic acid,-,-,-,-
"1-Naphthalenedithanephosphonic acid, diethyl este",-,-,1,-
"1-Naphthalenedithanol, 1,2,3,4-tetrahydro-",3,1,-,-
"1-Naphthalenedithanol, 5,6,7,8-tetrahydro-",4,2,2,-
"1-Naphthalenedycidic acid, 1,2,3,4-tetrahydro-, ethyl ester",2,1,-,-
1-Naphthalenemethanephosphonic acid,-,-,1,-
"1-Naphthalenemethanephosphonic acid, diethyl ester",-,-,1,-
"1-Naphthalenemethanesulfonic acid, 2-hydroxy-, sodium salt",-,-,-,-
1-Naphthalenemethanol,-,-,1,1
"1-Naphthalenemethanol, acetate",1,2,-,-
"1-Naphthalenemethanol, benzoate",1,1,-,-
"Naphthalenemethanol, alpha-methyl-",-,-,1,1
"1-Naphthalenepropionamide, N-cyclohexyl-2-hydroxy-",-,-,-,-
"1-Naphthalenepropionitrile, 2-hydroxy-",-,-,1,-
"2-Naphthalenesulfonamide, N,N-diethyl-",-,-,-,-
"2-Naphthalenesulfonamide, N,N-dimethyl-",-,-,-,-
"2-Naphthalenesulfonamide, N-ethyl-",-,-,-,-
"2-Naphthalenesulfonamide, N-methyl-",-,-,-,-
"2-Naphthalenesulfonamide, N-propyl-",-,-,-,-
"Naphthalenesulfonic acid, isopropyl-, sodium salt",1,-,-,-
"2-Naphthoic acid, 3-hydroxy-, acetate",-,-,-,-
"2-Naphthoic acid, 3-hydroxy-, amyl ester",1,1,-,-
"2-Naphthoic acid, 3-hydroxy-, butyl ester",1,1,-,-
"2-Naphthoic acid, 3-hydroxy-, propyl ester",1,1,-,-
"2-Naphthoic acid, 3-hydroxy-7-sulfo-",-,-,-,-
"2-Naphthoic acid, 4,4'-methylenebis(3-hydroxy-",-,-,-,-
